Rank,County,Population
1,Los Angeles County,"10,039,107"
2,San Diego County,"3,338,330"
3,Orange County,"3,175,692"
4,Riverside County,"2,470,546"
5,San Bernardino County,"2,180,085"
6,Santa Clara County,"1,927,852"
7,Alameda County,"1,671,329"
8,Sacramento County,"1,552,058"
9,Contra Costa County,"1,153,526"
10,Fresno County,"999,101"
11,Kern County,"900,202"
12,San Francisco County,"881,549"
13,Ventura County,"846,006"
14,San Mateo County,"766,573"
15,San Joaquin County,"762,148"
16,Stanislaus County,"550,660"
17,Sonoma County,"494,336"
18,Tulare County,"466,195"
19,Solano County,"447,643"
20,Santa Barbara County,"446,499"
21,Monterey County,"434,061"
22,Placer County,"398,329"
23,San Luis Obispo County,"283,111"
24,Merced County,"277,680"
25,Santa Cruz County,"273,213"
26,Marin County,"258,826"
27,Yolo County,"220,500"
28,Butte County,"219,186"
29,El Dorado County,"192,843"
30,Imperial County,"181,215"
31,Shasta County,"180,080"
32,Madera County,"157,327"
33,Kings County,"152,940"
34,Napa County,"137,744"
35,Humboldt County,"135,558"
36,Nevada County,"99,755"
37,Sutter County,"96,971"
38,Mendocino County,"86,749"
39,Yuba County,"78,668"
40,Tehama County,"65,084"
41,Lake County,"64,386"
42,San Benito County,"62,808"
43,Tuolumne County,"54,478"
44,Calaveras County,"45,905"
45,Siskiyou County,"43,539"
46,Amador County,"39,752"
47,Lassen County,"30,573"
48,Glenn County,"28,393"
49,Del Norte County,"27,812"
50,Colusa County,"21,547"
51,Plumas County,"18,807"
52,Inyo County,"18,039"
53,Mariposa County,"17,203"
54,Mono County,"14,444"
55,Trinity County,"12,285"
56,Modoc County,"8,841"
57,Sierra County,"3,005"
58,Alpine County,"1,129"
