County,Biden % votes,Trump % votes,Biden # votes,Trump # votes
Alameda,80.2,17.7,"617,486","136,238"
Alpine,64.3,32.3,473,238
Amador,36.6,60.9,"8,153","13,585"
Butte,49.4,47.8,50416,"48,703"
Calaveras,36.8,61,"9,845","16,287"
Colusa,40.6,57.3,"3,218","4,539"
Contra Costa,71.7,26.3,"415,573","152,497"
Del Norte,40.8,56.4,"4,659","6,444"
El Dorado,44.4,53.2,"51,606","61,820"
Fresno,52.9,45.1,"192,118","163,880"
Glenn,35.3,62.7,"3,939","7,000"
Humboldt,65.2,31.5,43633,21069
Imperial,61.7,36.2,32493,"19,078"
Inyo,48.9,48.7,"4,623","4,611"
Kern,43.6,54,"128,957","159,846"
Kings,42.3,55.2,"17,898","23,372"
Lake,62.3,35.8,6874,"3,955"
Lassen,23.5,74.7,2775,"8,814"
Los Angeles,71,26.9,"3,020,546","1,142,225"
Madera,43.1,54.7,"23,154","29,361"
Marin,82.3,15.8,128262,"24,610"
Mariposa,39.8,57.9,"4,088","5,950"
Mendocino,72.7,25.1,18303,"6,312"
Merced,54.1,43.5,"48,685","39,132"
Modoc,26.5,71.7,1150,"3,109"
Mono,59.6,37.3,"4,013","2,513"
Monterey,69.5,28.3,"113,893","46,274"
Napa,69.2,28.6,46929,"19,388"
Nevada,56.2,41.4,"36,332","26,753"
Orange,53.5,44.5,"813,918","676,430"
Placer,45.6,52,"103,942","118,709"
Plumas,40.5,57.3,"4,561","6,445"
Riverside,53,45,"524,445","445,461"
Sacramento,61.5,36,"436,059","255,577"
San Benito,61.1,36.8,"17,315","10,412"
San Bernardino,54.2,43.5,"447,924","359,658"
San Diego,60.2,37.5,"963,797","599,539"
San Francisco,85.3,12.7,"377,772","56,329"
San Joaquin,56,41.8,"152,722","114,039"
San Luis Obispo,55.4,42.2,"87,491","66,661"
San Mateo,77.9,20.2,"290,901","75,404"
Santa Barbara,65,32.7,126419,63583
Santa Clara,72.7,25.2,"617,824","214,538"
Santa Cruz,78.9,18.6,113487,"26,688"
Shasta,32.5,65.3,"29,312","58,886"
Sierra,37.8,59.2,730,"1,142"
Siskiyou,40.9,56.7,"9,591","13,288"
Solano,64,33.7,"131,571","69,263"
Sonoma,74.5,23,"199,929","61,821"
Stanislaus,49.3,48.4,"105,082","103,189"
Sutter,40.7,57.2,17364,24372
Tehama,31.1,66.6,"8,802","18,865"
Trinity,45.6,50.9,2848,"3,185"
Tulare,45,52.8,"65,056","76,315"
Tuolumne,39.4,58.2,"11,978","17,689"
Ventura,59.5,38.4,250784,161773
Yolo,70.6,27.1,58328,22422
Yuba,37.8,59.3,10343,16210
