date,county,state,fips,cases,deaths
2020-11-27,Autauga,Alabama,1001,2716,42
2020-11-27,Baldwin,Alabama,1003,8603,98
2020-11-27,Barbour,Alabama,1005,1171,10
2020-11-27,Bibb,Alabama,1007,1173,17
2020-11-27,Blount,Alabama,1009,2888,40
2020-11-27,Bullock,Alabama,1011,694,19
2020-11-27,Butler,Alabama,1013,1153,41
2020-11-27,Calhoun,Alabama,1015,6240,119
2020-11-27,Chambers,Alabama,1017,1765,50
2020-11-27,Cherokee,Alabama,1019,1015,24
2020-11-27,Chilton,Alabama,1021,2219,38
2020-11-27,Choctaw,Alabama,1023,421,13
2020-11-27,Clarke,Alabama,1025,1580,19
2020-11-27,Clay,Alabama,1027,911,24
2020-11-27,Cleburne,Alabama,1029,771,14
2020-11-27,Coffee,Alabama,1031,2426,15
2020-11-27,Colbert,Alabama,1033,3093,42
2020-11-27,Conecuh,Alabama,1035,684,14
2020-11-27,Coosa,Alabama,1037,341,4
2020-11-27,Covington,Alabama,1039,2185,34
2020-11-27,Crenshaw,Alabama,1041,711,30
2020-11-27,Cullman,Alabama,1043,4354,42
2020-11-27,Dale,Alabama,1045,2318,54
2020-11-27,Dallas,Alabama,1047,2259,32
2020-11-27,DeKalb,Alabama,1049,4813,36
2020-11-27,Elmore,Alabama,1051,4045,64
2020-11-27,Escambia,Alabama,1053,1979,31
2020-11-27,Etowah,Alabama,1055,6210,66
2020-11-27,Fayette,Alabama,1057,898,16
2020-11-27,Franklin,Alabama,1059,2510,33
2020-11-27,Geneva,Alabama,1061,1213,8
2020-11-27,Greene,Alabama,1063,424,18
2020-11-27,Hale,Alabama,1065,961,31
2020-11-27,Henry,Alabama,1067,852,6
2020-11-27,Houston,Alabama,1069,5230,38
2020-11-27,Jackson,Alabama,1071,3134,23
2020-11-27,Jefferson,Alabama,1073,31944,500
2020-11-27,Lamar,Alabama,1075,671,8
2020-11-27,Lauderdale,Alabama,1077,4004,54
2020-11-27,Lawrence,Alabama,1079,1273,36
2020-11-27,Lee,Alabama,1081,7735,66
2020-11-27,Limestone,Alabama,1083,4206,45
2020-11-27,Lowndes,Alabama,1085,795,29
2020-11-27,Macon,Alabama,1087,731,22
2020-11-27,Madison,Alabama,1089,13065,148
2020-11-27,Marengo,Alabama,1091,1210,24
2020-11-27,Marion,Alabama,1093,1379,36
2020-11-27,Marshall,Alabama,1095,6213,55
2020-11-27,Mobile,Alabama,1097,19687,361
2020-11-27,Monroe,Alabama,1099,787,11
2020-11-27,Montgomery,Alabama,1101,12286,236
2020-11-27,Morgan,Alabama,1103,6538,50
2020-11-27,Perry,Alabama,1105,684,6
2020-11-27,Pickens,Alabama,1107,1223,18
2020-11-27,Pike,Alabama,1109,1583,14
2020-11-27,Randolph,Alabama,1111,1020,21
2020-11-27,Russell,Alabama,1113,2214,3
2020-11-27,Shelby,Alabama,1117,10203,77
2020-11-27,St. Clair,Alabama,1115,4158,55
2020-11-27,Sumter,Alabama,1119,577,22
2020-11-27,Talladega,Alabama,1121,3490,54
2020-11-27,Tallapoosa,Alabama,1123,1757,91
2020-11-27,Tuscaloosa,Alabama,1125,12983,154
2020-11-27,Walker,Alabama,1127,3634,111
2020-11-27,Washington,Alabama,1129,909,19
2020-11-27,Wilcox,Alabama,1131,632,18
2020-11-27,Winston,Alabama,1133,1323,23
2020-11-27,Aleutians East Borough,Alaska,2013,33,0
2020-11-27,Aleutians West Census Area,Alaska,2016,107,0
2020-11-27,Anchorage,Alaska,2020,16069,65
2020-11-27,Bethel Census Area,Alaska,2050,1376,5
2020-11-27,Bristol Bay plus Lake and Peninsula,Alaska,2997,144,0
2020-11-27,Denali Borough,Alaska,2068,41,0
2020-11-27,Dillingham Census Area,Alaska,2070,96,1
2020-11-27,Fairbanks North Star Borough,Alaska,2090,3337,17
2020-11-27,Haines Borough,Alaska,2100,16,0
2020-11-27,Juneau City and Borough,Alaska,2110,820,3
2020-11-27,Kenai Peninsula Borough,Alaska,2122,2483,7
2020-11-27,Ketchikan Gateway Borough,Alaska,2130,191,0
2020-11-27,Kodiak Island Borough,Alaska,2150,257,0
2020-11-27,Kusilvak Census Area,Alaska,2158,401,1
2020-11-27,Matanuska-Susitna Borough,Alaska,2170,3077,6
2020-11-27,Nome Census Area,Alaska,2180,213,0
2020-11-27,North Slope Borough,Alaska,2185,439,0
2020-11-27,Northwest Arctic Borough,Alaska,2188,352,0
2020-11-27,Petersburg Borough,Alaska,2195,20,0
2020-11-27,Prince of Wales-Hyder Census Area,Alaska,2198,48,1
2020-11-27,Sitka City and Borough,Alaska,2220,175,0
2020-11-27,Skagway Municipality,Alaska,2230,9,0
2020-11-27,Southeast Fairbanks Census Area,Alaska,2240,275,2
2020-11-27,Unknown,Alaska,,151,0
2020-11-27,Valdez-Cordova Census Area,Alaska,2261,249,2
2020-11-27,Wrangell City and Borough,Alaska,2275,19,0
2020-11-27,Yakutat plus Hoonah-Angoon,Alaska,2998,47,0
2020-11-27,Yukon-Koyukuk Census Area,Alaska,2290,167,3
2020-11-27,Apache,Arizona,4001,5309,195
2020-11-27,Cochise,Arizona,4003,3567,79
2020-11-27,Coconino,Arizona,4005,7275,169
2020-11-27,Gila,Arizona,4007,2897,90
2020-11-27,Graham,Arizona,4009,2132,34
2020-11-27,Greenlee,Arizona,4011,215,2
2020-11-27,La Paz,Arizona,4012,825,20
2020-11-27,Maricopa,Arizona,4013,201340,3966
2020-11-27,Mohave,Arizona,4015,6079,259
2020-11-27,Navajo,Arizona,4017,7976,269
2020-11-27,Pima,Arizona,4019,38668,682
2020-11-27,Pinal,Arizona,4021,16110,258
2020-11-27,Santa Cruz,Arizona,4023,3798,69
2020-11-27,Yavapai,Arizona,4025,5028,116
2020-11-27,Yuma,Arizona,4027,17476,380
2020-11-27,Arkansas,Arkansas,5001,953,20
2020-11-27,Ashley,Arkansas,5003,838,13
2020-11-27,Baxter,Arkansas,5005,1370,27
2020-11-27,Benton,Arkansas,5007,11831,153
2020-11-27,Boone,Arkansas,5009,1736,43
2020-11-27,Bradley,Arkansas,5011,478,8
2020-11-27,Calhoun,Arkansas,5013,144,1
2020-11-27,Carroll,Arkansas,5015,1396,23
2020-11-27,Chicot,Arkansas,5017,1181,27
2020-11-27,Clark,Arkansas,5019,799,11
2020-11-27,Clay,Arkansas,5021,851,19
2020-11-27,Cleburne,Arkansas,5023,704,21
2020-11-27,Cleveland,Arkansas,5025,356,15
2020-11-27,Columbia,Arkansas,5027,1066,24
2020-11-27,Conway,Arkansas,5029,659,7
2020-11-27,Craighead,Arkansas,5031,6950,77
2020-11-27,Crawford,Arkansas,5033,3010,36
2020-11-27,Crittenden,Arkansas,5035,3217,55
2020-11-27,Cross,Arkansas,5037,831,26
2020-11-27,Dallas,Arkansas,5039,294,6
2020-11-27,Desha,Arkansas,5041,549,8
2020-11-27,Drew,Arkansas,5043,712,7
2020-11-27,Faulkner,Arkansas,5045,4679,53
2020-11-27,Franklin,Arkansas,5047,780,12
2020-11-27,Fulton,Arkansas,5049,541,12
2020-11-27,Garland,Arkansas,5051,3759,103
2020-11-27,Grant,Arkansas,5053,589,5
2020-11-27,Greene,Arkansas,5055,2865,26
2020-11-27,Hempstead,Arkansas,5057,844,8
2020-11-27,Hot Spring,Arkansas,5059,2900,42
2020-11-27,Howard,Arkansas,5061,795,15
2020-11-27,Independence,Arkansas,5063,2040,71
2020-11-27,Izard,Arkansas,5065,983,6
2020-11-27,Jackson,Arkansas,5067,1722,7
2020-11-27,Jefferson,Arkansas,5069,5147,109
2020-11-27,Johnson,Arkansas,5071,1247,11
2020-11-27,Lafayette,Arkansas,5073,260,3
2020-11-27,Lawrence,Arkansas,5075,1148,28
2020-11-27,Lee,Arkansas,5077,1175,18
2020-11-27,Lincoln,Arkansas,5079,2448,18
2020-11-27,Little River,Arkansas,5081,640,40
2020-11-27,Logan,Arkansas,5083,925,6
2020-11-27,Lonoke,Arkansas,5085,2648,53
2020-11-27,Madison,Arkansas,5087,611,8
2020-11-27,Marion,Arkansas,5089,427,6
2020-11-27,Miller,Arkansas,5091,2136,22
2020-11-27,Mississippi,Arkansas,5093,3143,80
2020-11-27,Monroe,Arkansas,5095,301,4
2020-11-27,Montgomery,Arkansas,5097,278,10
2020-11-27,Nevada,Arkansas,5099,444,14
2020-11-27,Newton,Arkansas,5101,434,22
2020-11-27,Ouachita,Arkansas,5103,716,12
2020-11-27,Perry,Arkansas,5105,250,3
2020-11-27,Phillips,Arkansas,5107,932,17
2020-11-27,Pike,Arkansas,5109,366,2
2020-11-27,Poinsett,Arkansas,5111,1644,41
2020-11-27,Polk,Arkansas,5113,772,10
2020-11-27,Pope,Arkansas,5115,3650,42
2020-11-27,Prairie,Arkansas,5117,352,7
2020-11-27,Pulaski,Arkansas,5119,16395,263
2020-11-27,Randolph,Arkansas,5121,959,30
2020-11-27,Saline,Arkansas,5125,4702,55
2020-11-27,Scott,Arkansas,5127,371,2
2020-11-27,Searcy,Arkansas,5129,291,1
2020-11-27,Sebastian,Arkansas,5131,6913,123
2020-11-27,Sevier,Arkansas,5133,1700,18
2020-11-27,Sharp,Arkansas,5135,685,14
2020-11-27,St. Francis,Arkansas,5123,2034,15
2020-11-27,Stone,Arkansas,5137,466,23
2020-11-27,Union,Arkansas,5139,1510,56
2020-11-27,Unknown,Arkansas,,2694,0
2020-11-27,Van Buren,Arkansas,5141,362,3
2020-11-27,Washington,Arkansas,5143,15282,176
2020-11-27,White,Arkansas,5145,2972,50
2020-11-27,Woodruff,Arkansas,5147,196,1
2020-11-27,Yell,Arkansas,5149,1629,33
2020-11-27,Alameda,California,6001,28878,505
2020-11-27,Alpine,California,6003,41,0
2020-11-27,Amador,California,6005,487,16
2020-11-27,Butte,California,6007,3894,59
2020-11-27,Calaveras,California,6009,478,22
2020-11-27,Colusa,California,6011,694,6
2020-11-27,Contra Costa,California,6013,23571,261
2020-11-27,Del Norte,California,6015,313,1
2020-11-27,El Dorado,California,6017,2217,4
2020-11-27,Fresno,California,6019,37947,481
2020-11-27,Glenn,California,6021,892,8
2020-11-27,Humboldt,California,6023,850,9
2020-11-27,Imperial,California,6025,15862,355
2020-11-27,Inyo,California,6027,289,16
2020-11-27,Kern,California,6029,40632,448
2020-11-27,Kings,California,6031,10687,87
2020-11-27,Lake,California,6033,890,19
2020-11-27,Lassen,California,6035,1773,2
2020-11-27,Los Angeles,California,6037,387793,7604
2020-11-27,Madera,California,6039,6047,85
2020-11-27,Marin,California,6041,7702,129
2020-11-27,Mariposa,California,6043,128,2
2020-11-27,Mendocino,California,6045,1559,23
2020-11-27,Merced,California,6047,11537,179
2020-11-27,Modoc,California,6049,118,0
2020-11-27,Mono,California,6051,542,3
2020-11-27,Monterey,California,6053,14750,116
2020-11-27,Napa,California,6055,2989,17
2020-11-27,Nevada,California,6057,1184,9
2020-11-27,Orange,California,6059,77380,1577
2020-11-27,Placer,California,6061,6354,68
2020-11-27,Plumas,California,6063,188,0
2020-11-27,Riverside,California,6065,85774,1437
2020-11-27,Sacramento,California,6067,36629,576
2020-11-27,San Benito,California,6069,1837,16
2020-11-27,San Bernardino,California,6071,90222,1129
2020-11-27,San Diego,California,6073,78222,996
2020-11-27,San Francisco,California,6075,15159,160
2020-11-27,San Joaquin,California,6077,25738,502
2020-11-27,San Luis Obispo,California,6079,6129,36
2020-11-27,San Mateo,California,6081,13715,170
2020-11-27,Santa Barbara,California,6083,11277,135
2020-11-27,Santa Clara,California,6085,32985,477
2020-11-27,Santa Cruz,California,6087,4269,28
2020-11-27,Shasta,California,6089,4718,47
2020-11-27,Sierra,California,6091,15,0
2020-11-27,Siskiyou,California,6093,624,2
2020-11-27,Solano,California,6095,10041,81
2020-11-27,Sonoma,California,6097,12049,157
2020-11-27,Stanislaus,California,6099,22829,424
2020-11-27,Sutter,California,6101,3144,15
2020-11-27,Tehama,California,6103,1612,25
2020-11-27,Trinity,California,6105,140,0
2020-11-27,Tulare,California,6107,20649,308
2020-11-27,Tuolumne,California,6109,981,8
2020-11-27,Ventura,California,6111,19058,175
2020-11-27,Yolo,California,6113,4626,75
2020-11-27,Yuba,California,6115,1981,10
2020-11-27,Adams,Colorado,8001,28413,331
2020-11-27,Alamosa,Colorado,8003,588,13
2020-11-27,Arapahoe,Colorado,8005,26177,453
2020-11-27,Archuleta,Colorado,8007,224,0
2020-11-27,Baca,Colorado,8009,102,0
2020-11-27,Bent,Colorado,8011,147,1
2020-11-27,Boulder,Colorado,8013,10728,118
2020-11-27,Broomfield,Colorado,8014,1954,49
2020-11-27,Chaffee,Colorado,8015,611,21
2020-11-27,Cheyenne,Colorado,8017,57,0
2020-11-27,Clear Creek,Colorado,8019,184,2
2020-11-27,Conejos,Colorado,8021,165,3
2020-11-27,Costilla,Colorado,8023,84,1
2020-11-27,Crowley,Colorado,8025,1149,3
2020-11-27,Custer,Colorado,8027,67,0
2020-11-27,Delta,Colorado,8029,571,9
2020-11-27,Denver,Colorado,8031,35787,523
2020-11-27,Dolores,Colorado,8033,14,0
2020-11-27,Douglas,Colorado,8035,10391,100
2020-11-27,Eagle,Colorado,8037,2272,11
2020-11-27,El Paso,Colorado,8041,25946,267
2020-11-27,Elbert,Colorado,8039,570,5
2020-11-27,Fremont,Colorado,8043,2593,5
2020-11-27,Garfield,Colorado,8045,2098,6
2020-11-27,Gilpin,Colorado,8047,80,0
2020-11-27,Grand,Colorado,8049,376,1
2020-11-27,Gunnison,Colorado,8051,461,7
2020-11-27,Hinsdale,Colorado,8053,9,0
2020-11-27,Huerfano,Colorado,8055,149,4
2020-11-27,Jackson,Colorado,8057,21,0
2020-11-27,Jefferson,Colorado,8059,19704,436
2020-11-27,Kiowa,Colorado,8061,22,0
2020-11-27,Kit Carson,Colorado,8063,298,7
2020-11-27,La Plata,Colorado,8067,1253,4
2020-11-27,Lake,Colorado,8065,267,0
2020-11-27,Larimer,Colorado,8069,9726,74
2020-11-27,Las Animas,Colorado,8071,206,0
2020-11-27,Lincoln,Colorado,8073,136,0
2020-11-27,Logan,Colorado,8075,2202,33
2020-11-27,Mesa,Colorado,8077,5501,56
2020-11-27,Mineral,Colorado,8079,35,0
2020-11-27,Moffat,Colorado,8081,273,4
2020-11-27,Montezuma,Colorado,8083,669,7
2020-11-27,Montrose,Colorado,8085,999,15
2020-11-27,Morgan,Colorado,8087,1596,52
2020-11-27,Otero,Colorado,8089,551,11
